Pkt-Cnt,rx_time,port,millis,UTC,Alt,Lng,Lat,VBAT,VSOLAR,V3V3,V5V,V3V3EF,EPS,TS,T,H,PAY,Ax,Ay,Az,Gx,Gy,Gz,Sat,raw
,2025-09-21T01:36:31Z,COM6,,UTC=9:3,,,,,,,,,,,,,,,,,,,,,"Package=1510,UTC=9:3"
,2025-09-21T01:36:35Z,COM6,,UTC=9:36:14,0.00,120.292593,23.106545,8.135,0.199,3.358,5.000,,,,47,48,SAT=0,13.30,-14.52,1014.19,-105.00,-700.00,-17.50,,"Package=1512,UTC=9:36:14,Lat=23.106545,Lng=120.292593,Alt=0.00,Ax=13.30,Ay=-14.52,Az=1014.19,Gx=-105.00,Gy=-700.00,Gz=-17.50,T=47,H=48,SAT=0,VBAT=8.135,VSOLAR=0.199,V3V3=3.358,V5V=5.000"
,2025-09-21T01:36:36Z,COM6,,UTC=9:36:14,0.00,120.292593,23.106545,8.122,0.218,,,,,,47,48,SAT=0,13.42,-14.64,1013.33,-17.50,-682.50,-35.00,,"Package=1513,UTC=9:36:14,Lat=23.106545,Lng=120.292593,Alt=0.00,Ax=13.42,Ay=-14.64,Az=1013.33,Gx=-17.50,Gy=-682.50,Gz=-35.00,T=47,H=48,SAT=0,VBAT=8.122,VSOLAR=0.218,V3"
,2025-09-21T01:36:37Z,COM6,,UTC=9:36:14,0.00,120.292593,23.106545,8.13,,,,,,,47,48,SAT=0,13.42,-15.01,1011.38,-105.00,-682.50,0.00,,"Package=1514,UTC=9:36:14,Lat=23.106545,Lng=120.292593,Alt=0.00,Ax=13.42,Ay=-15.01,Az=1011.38,Gx=-105.00,Gy=-682.50,Gz=0.00,T=47,H=48,SAT=0,VBAT=8.13"
,2025-09-21T01:36:38Z,COM6,,UTC=9:36:14,0.00,120.292593,23.106545,,,,,,,,47,,,13.42,-15.37,1010.04,-35.00,-700.00,-35.00,,"Package=1515,UTC=9:36:14,Lat=23.106545,Lng=120.292593,Alt=0.00,Ax=13.42,Ay=-15.37,Az=1010.04,Gx=-35.00,Gy=-700.00,Gz=-35.00,T=47,H="
,2025-09-21T01:36:39Z,COM6,,UTC=9:36:14,0.00,120.292593,23.106545,,,,,,,,,,,13.18,-15.25,1009.67,-35.00,-647.50,,,"Package=1516,UTC=9:36:14,Lat=23.106545,Lng=120.292593,Alt=0.00,Ax=13.18,Ay=-15.25,Az=1009.67,Gx=-35.00,Gy=-647.50"
,2025-09-21T01:36:40Z,COM6,,UTC=9:36:14,0.00,120.292593,23.106545,,,,,,,,,,,13.42,-15.01,1009.79,,,,,"Package=1517,UTC=9:36:14,Lat=23.106545,Lng=120.292593,Alt=0.00,Ax=13.42,Ay=-15.01,Az=1009.79,Gx="
,2025-09-21T01:36:42Z,COM6,,UTC=9:36:14,0.00,120.292593,23.106545,,,,,,,,,,,13.42,-15,,,,,,"Package=1518,UTC=9:36:14,Lat=23.106545,Lng=120.292593,Alt=0.00,Ax=13.42,Ay=-15"
,2025-09-21T01:36:43Z,COM6,,UTC=9:36:14,0.,120.292593,23.106545,,,,,,,,,,,,,,,,,,"Package=1519,UTC=9:36:14,Lat=23.106545,Lng=120.292593,Alt=0."
,2025-09-21T01:36:44Z,COM6,,UTC=9:36:14,,,23.106545,,,,,,,,,,,,,,,,,,"Package=1520,UTC=9:36:14,Lat=23.106545,Lng="
,2025-09-21T01:36:45Z,COM6,,UTC=9:36:14,,,,,,,,,,,,,,,,,,,,,"Package=1521,UTC=9:36:14,L"
,2025-09-21T01:36:48Z,COM6,,Gx=32602.50,,,,8.107,0.179,3.355,5.000,3.350,0.140,0.143,,48,SAT=0,,,,,-19232.50,1379T=47,,"Package=1523.58,Gx=32602.50,Gy=-19232.50,Gz=1379T=47,H=48,SAT=0,VBAT=8.107,VSOLAR=0.179,V3V3=3.355,V5V=5.000,V3V3EF=3.350,TS=0.143,EPS=0.140"
,2025-09-21T01:36:48Z,COM6,,UTC=9:36:14,,120,23.106545,,,,,,,,,,,,,,,,,,"Package=1524,UTC=9:36:14,Lat=23.106545,Lng=120"
,2025-09-21T01:36:56Z,COM6,,UTC=9:36:14,,120.292593,23.106545,,,,,,,,,,,,,,,,,,"Package=1532,UTC=9:36:14,Lat=23.106545,Lng=120.292593,Al"
