Pkt-Cnt,rx_time,port,millis,UTC,Alt,Lng,Lat,VBAT,VSOLAR,V3V3,V5V,V3V3EF,EPS,TS,T,H,PAY,Ax,Ay,Az,Gx,Gy,Gz,Sat,raw
,2025-09-21T02:20:09Z,COM6,,UTC=8:0:29,N/A,N/A,N/A,,,,,,,,,62,SAT=0,27.57,-19.28,-989.66,-10237.50,9240.00,140.00T=36,,"Package=49,UTC=8:0:29,Lat=N/A,Lng=N/A,Alt=N/A,Ax=27.57,Ay=-19.28,Az=-989.66,Gx=-10237.50,Gy=9240.00,Gz=140.00T=36,H=62,SAT=0"
,2025-09-21T02:20:10Z,COM6,,UTC=8:0:30,N/A,N/A,N/A,,,,,,,,36,62,SAT=0,96.50,52.34,-983.20,-980.00,297.50,-52.50,,"Package=50,UTC=8:0:30,Lat=N/A,Lng=N/A,Alt=N/A,Ax=96.50,Ay=52.34,Az=-983.20,Gx=-980.00,Gy=297.50,Gz=-52.50,T=36,H=62,SAT=0"
,2025-09-21T02:20:11Z,COM6,,UTC=8:0:31,N/A,N/A,N/A,,,,,,,,36,62,SAT=0,100.28,57.10,-982.34,5285.00,-5880.00,0.00,,"Package=51,UTC=8:0:31,Lat=N/A,Lng=N/A,Alt=N/A,Ax=100.28,Ay=57.10,Az=-982.34,Gx=5285.00,Gy=-5880.00,Gz=0.00,T=36,H=62,SAT=0"
,2025-09-21T02:20:12Z,COM6,,UTC=8:0:32,N/A,N/A,N/A,,,,,,,,,62,SAT=0,32.21,-11.96,-989.18,-1907.50,1155.00,-140.00T=36,,"Package=52,UTC=8:0:32,Lat=N/A,Lng=N/A,Alt=N/A,Ax=32.21,Ay=-11.96,Az=-989.18,Gx=-1907.50,Gy=1155.00,Gz=-140.00T=36,H=62,SAT=0"
,2025-09-21T02:20:13Z,COM6,,UTC=8:0:33,N/A,N/A,N/A,,,,,,,,36,62,SAT=0,24.16,-20.25,-989.66,122.50,-735.00,-192.50,,"Package=53,UTC=8:0:33,Lat=N/A,Lng=N/A,Alt=N/A,Ax=24.16,Ay=-20.25,Az=-989.66,Gx=122.50,Gy=-735.00,Gz=-192.50,T=36,H=62,SAT=0"
,2025-09-21T02:20:14Z,COM6,,UTC=8:0:34,N/A,N/A,N/A,,,,,,,,36,62,SAT=0,20.50,-21.23,-991.13,0.00,-595.00,-52.50,,"Package=54,UTC=8:0:34,Lat=N/A,Lng=N/A,Alt=N/A,Ax=20.50,Ay=-21.23,Az=-991.13,Gx=0.00,Gy=-595.00,Gz=-52.50,T=36,H=62,SAT=0"
,2025-09-21T02:20:15Z,COM6,,UTC=8:0:35,N/A,N/A,N/A,,,,,,,,36,62,SAT=0,12.81,-25.13,-990.03,-17.50,-315.00,-472.50,,"Package=55,UTC=8:0:35,Lat=N/A,Lng=N/A,Alt=N/A,Ax=12.81,Ay=-25.13,Az=-990.03,Gx=-17.50,Gy=-315.00,Gz=-472.50,T=36,H=62,SAT=0"
,2025-09-21T02:20:16Z,COM6,,UTC=8:0:36,N/A,N/A,N/A,,,,,,,,36,62,SAT=0,26.35,-20.37,-989.42,-17.50,-525.00,35.00,,"Package=56,UTC=8:0:36,Lat=N/A,Lng=N/A,Alt=N/A,Ax=26.35,Ay=-20.37,Az=-989.42,Gx=-17.50,Gy=-525.00,Gz=35.00,T=36,H=62,SAT=0"
,2025-09-21T02:20:17Z,COM6,,UTC=8:0:37,N/A,N/A,N/A,,,,,,,,36,62,SAT=0,24.89,-21.11,-990.15,17.50,-560.00,-35.00,,"Package=57,UTC=8:0:37,Lat=N/A,Lng=N/A,Alt=N/A,Ax=24.89,Ay=-21.11,Az=-990.15,Gx=17.50,Gy=-560.00,Gz=-35.00,T=36,H=62,SAT=0"
,2025-09-21T02:20:18Z,COM6,,UTC=8:0:38,N/A,N/A,N/A,,,,,,,,36,62,SAT=0,24.52,-21.35,-990.40,-437.50,-192.50,35.00,,"Package=58,UTC=8:0:38,Lat=N/A,Lng=N/A,Alt=N/A,Ax=24.52,Ay=-21.35,Az=-990.40,Gx=-437.50,Gy=-192.50,Gz=35.00,T=36,H=62,SAT=0"
,2025-09-21T02:20:19Z,COM6,,UTC=8:0:39,N/A,N/A,N/A,,,,,,,,,62,SAT=0,31.11,-23.06,-994.67,5285.00,2170.00,-1382.50T=36,,"Package=59,UTC=8:0:39,Lat=N/A,Lng=N/A,Alt=N/A,Ax=31.11,Ay=-23.06,Az=-994.67,Gx=5285.00,Gy=2170.00,Gz=-1382.50T=36,H=62,SAT=0"
,2025-09-21T02:20:20Z,COM6,,UTC=8:0:40,N/A,N/A,N/A,,,,,,,,,62,SAT=0,15.86,-10.00,-990.88,-420.00,-2415.00,26145.0T=36,,"Package=60,UTC=8:0:40,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.86,Ay=-10.00,Az=-990.88,Gx=-420.00,Gy=-2415.00,Gz=26145.0T=36,H=62,SAT=0"
,2025-09-21T02:20:21Z,COM6,,UTC=8:0:41,N/A,N/A,N/A,,,,,,,,36,62,SAT=0,26.84,-10.00,-989.91,280.00,-962.50,-1785.00,,"Package=61,UTC=8:0:41,Lat=N/A,Lng=N/A,Alt=N/A,Ax=26.84,Ay=-10.00,Az=-989.91,Gx=280.00,Gy=-962.50,Gz=-1785.00,T=36,H=62,SAT=0"
,2025-09-21T02:20:22Z,COM6,,UTC=8:0:42,N/A,N/A,N/A,,,,,,,,,62,SAT=0,3.17,-114.31,-1034.68,-22925.00,31342.50,4532T=36,,"Package=62,UTC=8:0:42,Lat=N/A,Lng=N/A,Alt=N/A,Ax=3.17,Ay=-114.31,Az=-1034.68,Gx=-22925.00,Gy=31342.50,Gz=4532T=36,H=62,SAT=0"
,2025-09-21T02:20:23Z,COM6,,UTC=8:0:43,N/A,N/A,N/A,,,,,,,,,62,SAT=0,457.99,-227.77,-787.02,-40162.50,45885.00,248T=36,,"Package=63,UTC=8:0:43,Lat=N/A,Lng=N/A,Alt=N/A,Ax=457.99,Ay=-227.77,Az=-787.02,Gx=-40162.50,Gy=45885.00,Gz=248T=36,H=62,SAT=0"
,2025-09-21T02:20:24Z,COM6,,UTC=8:0:44,N/A,N/A,N/A,,,,,,,,,62,SAT=0,521.06,-480.44,-653.19,-3692.50,8347.50,-87.5T=36,,"Package=64,UTC=8:0:44,Lat=N/A,Lng=N/A,Alt=N/A,Ax=521.06,Ay=-480.44,Az=-653.19,Gx=-3692.50,Gy=8347.50,Gz=-87.5T=36,H=62,SAT=0"
,2025-09-21T02:20:25Z,COM6,,UTC=8:0:45,N/A,N/A,N/A,,,,,,,,,62,SAT=0,543.75,-595.48,-583.65,27772.50,-24605.00,579T=36,,"Package=65,UTC=8:0:45,Lat=N/A,Lng=N/A,Alt=N/A,Ax=543.75,Ay=-595.48,Az=-583.65,Gx=27772.50,Gy=-24605.00,Gz=579T=36,H=62,SAT=0"
,2025-09-21T02:20:26Z,COM6,,UTC=8:0:46,N/A,N/A,N/A,,,,,,,,,62,SAT=0,445.67,-686.25,-610.98,1837.50,11252.50,-5306T=36,,"Package=66,UTC=8:0:46,Lat=N/A,Lng=N/A,Alt=N/A,Ax=445.67,Ay=-686.25,Az=-610.98,Gx=1837.50,Gy=11252.50,Gz=-5306T=36,H=62,SAT=0"
,2025-09-21T02:20:27Z,COM6,,UTC=8:0:47,N/A,N/A,N/A,,,,,,,,,62,SAT=0,593.41,-638.06,-452.38,-35525.00,6037.50,5395T=36,,"Package=67,UTC=8:0:47,Lat=N/A,Lng=N/A,Alt=N/A,Ax=593.41,Ay=-638.06,Az=-452.38,Gx=-35525.00,Gy=6037.50,Gz=5395T=36,H=62,SAT=0"
,2025-09-21T02:20:28Z,COM6,,UTC=8:0:48,N/A,N/A,N/A,,,,,,,,,62,SAT=0,581.45,-523.75,-632.94,-84017.50,51817.50,247T=36,,"Package=68,UTC=8:0:48,Lat=N/A,Lng=N/A,Alt=N/A,Ax=581.45,Ay=-523.75,Az=-632.94,Gx=-84017.50,Gy=51817.50,Gz=247T=36,H=62,SAT=0"
,2025-09-21T02:20:29Z,COM6,,UTC=8:0:49,N/A,N/A,N/A,,,,,,,,,62,SAT=0,515.08,-501.30,-657.46,-7210.00,11165.00,1907T=36,,"Package=69,UTC=8:0:49,Lat=N/A,Lng=N/A,Alt=N/A,Ax=515.08,Ay=-501.30,Az=-657.46,Gx=-7210.00,Gy=11165.00,Gz=1907T=36,H=62,SAT=0"
,2025-09-21T02:20:30Z,COM6,,UTC=8:0:50,N/A,N/A,N/A,,,,,,,,,62,SAT=0,653.31,-395.28,-549.85,51765.00,-43785.00,335T=36,,"Package=70,UTC=8:0:50,Lat=N/A,Lng=N/A,Alt=N/A,Ax=653.31,Ay=-395.28,Az=-549.85,Gx=51765.00,Gy=-43785.00,Gz=335T=36,H=62,SAT=0"
,2025-09-21T02:20:31Z,COM6,,UTC=8:0:51,N/A,N/A,N/A,,,,,,,,,62,SAT=0,566.08,-417.97,-693.57,-21192.50,-4252.50,-51T=36,,"Package=71,UTC=8:0:51,Lat=N/A,Lng=N/A,Alt=N/A,Ax=566.08,Ay=-417.97,Az=-693.57,Gx=-21192.50,Gy=-4252.50,Gz=-51T=36,H=62,SAT=0"
,2025-09-21T02:20:32Z,COM6,,UTC=8:0:52,N/A,N/A,N/A,,,,,,,,,62,SAT=0,632.69,-434.81,-784.34,-9310.00,10150.00,-329T=36,,"Package=72,UTC=8:0:52,Lat=N/A,Lng=N/A,Alt=N/A,Ax=632.69,Ay=-434.81,Az=-784.34,Gx=-9310.00,Gy=10150.00,Gz=-329T=36,H=62,SAT=0"
,2025-09-21T02:20:33Z,COM6,,UTC=8:0:53,N/A,N/A,N/A,,,,,,,,,62,SAT=0,566.57,-392.60,-744.20,24290.00,-11007.50,-39T=36,,"Package=73,UTC=8:0:53,Lat=N/A,Lng=N/A,Alt=N/A,Ax=566.57,Ay=-392.60,Az=-744.20,Gx=24290.00,Gy=-11007.50,Gz=-39T=36,H=62,SAT=0"
