Pkt-Cnt,rx_time,port,millis,UTC,Alt,Lng,Lat,VBAT,VSOLAR,V3V3,V5V,V3V3EF,EPS,TS,T,H,PAY,Ax,Ay,Az,Gx,Gy,Gz,Sat,raw
,2025-09-21T00:48:04Z,COM6,,,,,,,,,,,,,,,,,,,,,,,"Package=491,"
,2025-09-21T00:48:05Z,COM6,,UTC=8:47:57,,120.29252,23.106535,,,,,,,,,,,,,,,,,,"Package=492,UTC=8:47:57,Lat=23.106535,Lng=120.29252"
,2025-09-21T00:48:13Z,COM6,,UTC=8:48:5,29.,120.292383,23.106575,,,,,,,,,,,,,,,,,,"Package=500,UTC=8:48:5,Lat=23.106575,Lng=120.292383,Alt=29."
,2025-09-21T00:48:21Z,COM6,,UTC=8:48:11,26.90,120.292412,23.106580,,,,,,,,,,,-996,,,,,,,"Package=508,UTC=8:48:11,Lat=23.106580,Lng=120.292412,Alt=26.90,Ax=-996"
,2025-09-21T00:48:29Z,COM6,,UTC=8:48:21,26.80,120.292557,23.106540,,,,,,,,,,,-996.50,-4,,,,,,"Package=516,UTC=8:48:21,Lat=23.106540,Lng=120.292557,Alt=26.80,Ax=-996.50,Ay=-4"
,2025-09-21T00:48:37Z,COM6,,UTC=8:48:28,23.90,120.292587,23.106517,,,,,,,,,,,-996.50,-4.64,-,,,,,"Package=524,UTC=8:48:28,Lat=23.106517,Lng=120.292587,Alt=23.90,Ax=-996.50,Ay=-4.64,Az=-"
,2025-09-21T00:48:45Z,COM6,,UTC=8:48:36,25.00,120.292587,23.106497,,,,,,,,,,,-996.37,-4.51,-14.40,70.0,,,,"Package=532,UTC=8:48:36,Lat=23.106497,Lng=120.292587,Alt=25.00,Ax=-996.37,Ay=-4.51,Az=-14.40,Gx=70.0"
,2025-09-21T00:48:53Z,COM6,,UTC=8:48:45,31.60,120.292557,23.106537,,,,,,,,,,,-996.50,-4.76,-14.15,52.50,-560.0,,,"Package=540,UTC=8:48:45,Lat=23.106537,Lng=120.292557,Alt=31.60,Ax=-996.50,Ay=-4.76,Az=-14.15,Gx=52.50,Gy=-560.0"
,2025-09-21T00:49:01Z,COM6,,UTC=NO_TIME,N/A,N/A,N/A,8.340,0.138,3.339,5.000,3.348,0,0.107,,61,SAT=0,-970.39,166.90,108.34,15592.50,822.50,2345.00T=38,,"Package=2,UTC=NO_TIME,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-970.39,Ay=166.90,Az=108.34,Gx=15592.50,Gy=822.50,Gz=2345.00T=38,H=61,SAT=0,VBAT=8.340,VSOLAR=0.138,V3V3=3.339,V5V=5.000,V3V3EF=3.348,TS=0.107,EPS=0"
,2025-09-21T00:49:03Z,COM6,,UTC=8:48:58,N/A,N/A,N/A,8.330,0.109,3.344,5.000,3.352,,0.111,,61,SAT=0,-962.58,196.05,174.22,10885.00,-17675.00,-137T=38,,"Package=3,UTC=8:48:58,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-962.58,Ay=196.05,Az=174.22,Gx=10885.00,Gy=-17675.00,Gz=-137T=38,H=61,SAT=0,VBAT=8.330,VSOLAR=0.109,V3V3=3.344,V5V=5.000,V3V3EF=3.352,TS=0.111,EP"
,2025-09-21T00:49:04Z,COM6,,UTC=8:48:59,N/A,N/A,N/A,8.351,0.195,3.349,5.000,3.354,,0.128,,61,SAT=0,-1009.92,107.97,209.35,-39830.00,21840.00,780T=38,,"Package=4,UTC=8:48:59,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-1009.92,Ay=107.97,Az=209.35,Gx=-39830.00,Gy=21840.00,Gz=780T=38,H=61,SAT=0,VBAT=8.351,VSOLAR=0.195,V3V3=3.349,V5V=5.000,V3V3EF=3.354,TS=0.128"
,2025-09-21T00:49:05Z,COM6,,UTC=8:49:0,N/A,N/A,N/A,8.344,0.128,3.348,5.000,3.354,,0.1,,61,SAT=0,-973.32,113.46,55.02,-6475.00,-3972.50,1172.5T=39,,"Package=5,UTC=8:49:0,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-973.32,Ay=113.46,Az=55.02,Gx=-6475.00,Gy=-3972.50,Gz=1172.5T=39,H=61,SAT=0,VBAT=8.344,VSOLAR=0.128,V3V3=3.348,V5V=5.000,V3V3EF=3.354,TS=0.1"
,2025-09-21T00:49:06Z,COM6,,UTC=8:49:1,N/A,N/A,N/A,8.345,0.173,3.350,5.000,3.353,,0,,61,SAT=0,-999.30,38.19,160.31,-5547.50,6877.50,-9205.0T=38,,"Package=6,UTC=8:49:1,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-999.30,Ay=38.19,Az=160.31,Gx=-5547.50,Gy=6877.50,Gz=-9205.0T=38,H=61,SAT=0,VBAT=8.345,VSOLAR=0.173,V3V3=3.350,V5V=5.000,V3V3EF=3.353,TS=0"
,2025-09-21T00:49:07Z,COM6,,UTC=8:49:2,N/A,N/A,N/A,8.333,0.163,3.350,5.000,3.353,,,,61,SAT=0,-1003.94,-35.87,53.07,-3045.00,8575.00,-13615T=38,,"Package=7,UTC=8:49:2,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-1003.94,Ay=-35.87,Az=53.07,Gx=-3045.00,Gy=8575.00,Gz=-13615T=38,H=61,SAT=0,VBAT=8.333,VSOLAR=0.163,V3V3=3.350,V5V=5.000,V3V3EF=3.353,TS"
,2025-09-21T00:49:08Z,COM6,,UTC=8:49:3,N/A,N/A,N/A,8.331,0.092,3.353,5.000,3.352,,,,61,SAT=0,-970.27,-143.11,-165.80,962.50,-717.50,-13020T=38,,"Package=8,UTC=8:49:3,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-970.27,Ay=-143.11,Az=-165.80,Gx=962.50,Gy=-717.50,Gz=-13020T=38,H=61,SAT=0,VBAT=8.331,VSOLAR=0.092,V3V3=3.353,V5V=5.000,V3V3EF=3.352,"
,2025-09-21T00:49:09Z,COM6,,UTC=8:49:4,N/A,N/A,N/A,8.268,0.207,3.354,5.000,3.35,,,,61,SAT=0,-966.48,-306.95,-106.63,25235.00,30520.00,-79T=38,,"Package=9,UTC=8:49:4,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-966.48,Ay=-306.95,Az=-106.63,Gx=25235.00,Gy=30520.00,Gz=-79T=38,H=61,SAT=0,VBAT=8.268,VSOLAR=0.207,V3V3=3.354,V5V=5.000,V3V3EF=3.35"
,2025-09-21T00:49:11Z,COM6,,UTC=8:49:5,N/A,N/A,N/A,8.289,0.246,3.354,5.000,3,,,,61,SAT=0,-864.00,-523.50,-153.72,-7682.50,-8662.50,-12T=38,,"Package=10,UTC=8:49:5,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-864.00,Ay=-523.50,Az=-153.72,Gx=-7682.50,Gy=-8662.50,Gz=-12T=38,H=61,SAT=0,VBAT=8.289,VSOLAR=0.246,V3V3=3.354,V5V=5.000,V3V3EF=3"
,2025-09-21T00:49:12Z,COM6,,UTC=8:49:6,N/A,N/A,N/A,8.281,0.301,3.355,5.000,,,,,61,SAT=0,-746.27,-680.03,-53.44,-4147.50,-11882.50,-13T=38,,"Package=11,UTC=8:49:6,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-746.27,Ay=-680.03,Az=-53.44,Gx=-4147.50,Gy=-11882.50,Gz=-13T=38,H=61,SAT=0,VBAT=8.281,VSOLAR=0.301,V3V3=3.355,V5V=5.000,V3V3E"
,2025-09-21T00:49:13Z,COM6,,UTC=8:49:7,N/A,N/A,N/A,8.264,0.222,3.353,5.000,,,,,61,SAT=0,-764.70,-679.42,-134.93,-3745.00,-10430.00,-3T=38,,"Package=12,UTC=8:49:7,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-764.70,Ay=-679.42,Az=-134.93,Gx=-3745.00,Gy=-10430.00,Gz=-3T=38,H=61,SAT=0,VBAT=8.264,VSOLAR=0.222,V3V3=3.353,V5V=5.000,V3"
,2025-09-21T00:49:14Z,COM6,,UTC=8:49:7,N/A,N/A,N/A,8.263,0.210,3.354,5.000,,,,,61,SAT=0,-790.93,-620.74,-148.84,7262.50,5127.50,4270.T=38,,"Package=13,UTC=8:49:7,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-790.93,Ay=-620.74,Az=-148.84,Gx=7262.50,Gy=5127.50,Gz=4270.T=38,H=61,SAT=0,VBAT=8.263,VSOLAR=0.210,V3V3=3.354,V5V=5.000"
,2025-09-21T00:49:15Z,COM6,,UTC=8:49:7,N/A,N/A,N/A,8.272,0.183,3.353,5.,,,,,61,SAT=0,-782.87,-618.54,-127.49,8627.50,385.00,-245.0T=38,,"Package=14,UTC=8:49:7,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-782.87,Ay=-618.54,Az=-127.49,Gx=8627.50,Gy=385.00,Gz=-245.0T=38,H=61,SAT=0,VBAT=8.272,VSOLAR=0.183,V3V3=3.353,V5V=5."
,2025-09-21T00:49:16Z,COM6,,UTC=8:49:11,-7.50,120.292575,23.106542,8.273,0.27,,,,,,,61,SAT=6,-743.71,-664.53,-72.83,-7490.00,-10482.50,301T=38,,"Package=15,UTC=8:49:11,Lat=23.106542,Lng=120.292575,Alt=-7.50,Ax=-743.71,Ay=-664.53,Az=-72.83,Gx=-7490.00,Gy=-10482.50,Gz=301T=38,H=61,SAT=6,VBAT=8.273,VSOLAR=0.27"
,2025-09-21T00:49:17Z,COM6,,UTC=8:49:12,13.10,120.292612,23.106372,,,,,,,,,61,SAT=7,-805.44,-633.06,-56.36,-23555.00,-22330.00,-6T=38,,"Package=16,UTC=8:49:12,Lat=23.106372,Lng=120.292612,Alt=13.10,Ax=-805.44,Ay=-633.06,Az=-56.36,Gx=-23555.00,Gy=-22330.00,Gz=-6T=38,H=61,SAT=7,VBA"
,2025-09-21T00:49:19Z,COM6,,UTC=8:49:13,19.30,120.292603,23.106342,,,,,,,,,,,-789.46,-654.04,0.61,10202.50,35.00,-17.50,,"Package=17,UTC=8:49:13,Lat=23.106342,Lng=120.292603,Alt=19.30,Ax=-789.46,Ay=-654.04,Az=0.61,Gx=10202.50,Gy=35.00,Gz=-17.50,T="
,2025-09-21T00:49:20Z,COM6,,UTC=8:49:14,21.70,120.292585,23.106345,,,,,,,,,,,-789.95,-622.69,-46.12,3290.00,,,,"Package=18,UTC=8:49:14,Lat=23.106345,Lng=120.292585,Alt=21.70,Ax=-789.95,Ay=-622.69,Az=-46.12,Gx=3290.00,Gy="
,2025-09-21T00:49:21Z,COM6,,UTC=8:49:15,20.50,120.292570,23.106390,,,,,,,,,,,-804.71,-635.74,-3,,,,,"Package=19,UTC=8:49:15,Lat=23.106390,Lng=120.292570,Alt=20.50,Ax=-804.71,Ay=-635.74,Az=-3"
,2025-09-21T00:49:22Z,COM6,,UTC=8:49:16,21.10,120.292580,23.106412,,,,,,,,,,,-825.,,,,,,,"Package=20,UTC=8:49:16,Lat=23.106412,Lng=120.292580,Alt=21.10,Ax=-825."
,2025-09-21T00:49:23Z,COM6,,UTC=8:49:17,,120.292585,23.106455,,,,,,,,,,,,,,,,,,"Package=21,UTC=8:49:17,Lat=23.106455,Lng=120.292585"
,2025-09-21T00:49:24Z,COM6,,UTC=8:49:18,,,23.10,,,,,,,,,,,,,,,,,,"Package=22,UTC=8:49:18,Lat=23.10"
,2025-09-21T00:49:25Z,COM6,,UT,,,,,,,,,,,,,,,,,,,,,"Package=23,UT"
,2025-09-21T00:49:28Z,COM6,,UTC=8:49:20,12.50,120.292572,23.106502,8.250,0.259,3.350,5.000,3,,,,61,SAT=7,-803.13,-582.31,-77.35,-15645.00,1767.50,7507T=38,,"Package=24,UTC=8:49:20,Lat=23.106502,Lng=120.292572,Alt=12.50,Ax=-803.13,Ay=-582.31,Az=-77.35,Gx=-15645.00,Gy=1767.50,Gz=7507T=38,H=61,SAT=7,VBAT=8.250,VSOLAR=0.259,V3V3=3.350,V5V=5.000,V3V3EF=3"
,2025-09-21T00:49:29Z,COM6,,UTC=8:49:21,13.20,120.292558,23.106517,8.276,0.256,3.346,,,,,,61,SAT=7,-872.30,-508.01,-86.99,7280.00,-1750.00,1925.T=38,,"Package=25,UTC=8:49:21,Lat=23.106517,Lng=120.292558,Alt=13.20,Ax=-872.30,Ay=-508.01,Az=-86.99,Gx=7280.00,Gy=-1750.00,Gz=1925.T=38,H=61,SAT=7,VBAT=8.276,VSOLAR=0.256,V3V3=3.346"
,2025-09-21T00:49:37Z,COM6,,UTC=8:49:29,2,120.292597,23.106532,,,,,,,,,,,,,,,,,,"Package=33,UTC=8:49:29,Lat=23.106532,Lng=120.292597,Alt=2"
,2025-09-21T00:49:45Z,COM6,,UTC=8:49:37,15.30,120.292635,23.106540,,,,,,,,,,,-8,,,,,,,"Package=41,UTC=8:49:37,Lat=23.106540,Lng=120.292635,Alt=15.30,Ax=-8"
,2025-09-21T00:49:53Z,COM6,,UTC=8:49:45,6.50,120.292577,23.106578,,,,,,,,,,,-906.70,-36,,,,,,"Package=49,UTC=8:49:45,Lat=23.106578,Lng=120.292577,Alt=6.50,Ax=-906.70,Ay=-36"
