Pkt-Cnt,rx_time,port,millis,UTC,Alt,Lng,Lat,VBAT,VSOLAR,V3V3,V5V,V3V3EF,EPS,TS,T,H,PAY,Ax,Ay,Az,Gx,Gy,Gz,Sat,raw
,2025-09-21T02:31:17Z,COM6,,UTC=10:31:15,39.30,120.292540,23.106482,,,,,,,,,55,SAT=5,-908.66,345.50,-119.80,2922.50,23625.00,5110.T=42,,"Package=64,UTC=10:31:15,Lat=23.106482,Lng=120.292540,Alt=39.30,Ax=-908.66,Ay=345.50,Az=-119.80,Gx=2922.50,Gy=23625.00,Gz=5110.T=42,H=55,SAT=5"
,2025-09-21T02:31:18Z,COM6,,UTC=10:31:16,40.70,120.292545,23.106463,,,,,,,,,55,SAT=5,-915.24,353.07,-114.92,-1260.00,3237.50,-507.T=42,,"Package=65,UTC=10:31:16,Lat=23.106463,Lng=120.292545,Alt=40.70,Ax=-915.24,Ay=353.07,Az=-114.92,Gx=-1260.00,Gy=3237.50,Gz=-507.T=42,H=55,SAT=5"
,2025-09-21T02:31:19Z,COM6,,UTC=10:31:17,41.40,120.292547,23.106460,,,,,,,,,55,SAT=5,-904.87,370.39,-156.65,2327.50,-3325.00,-52.5T=42,,"Package=66,UTC=10:31:17,Lat=23.106460,Lng=120.292547,Alt=41.40,Ax=-904.87,Ay=370.39,Az=-156.65,Gx=2327.50,Gy=-3325.00,Gz=-52.5T=42,H=55,SAT=5"
,2025-09-21T02:31:20Z,COM6,,UTC=10:31:18,4,120.292560,23.106458,,,,,,,,,,,,,,,,,,"Package=67,UTC=10:31:18,Lat=23.106458,Lng=120.292560,Alt=4"
,2025-09-21T02:31:21Z,COM6,,UTC=10:31:19,41.40,120.292568,23.106453,,,,,,,,,55,SAT=5,-904.75,390.16,-127.12,-3167.50,560.00,-1575.T=42,,"Package=68,UTC=10:31:19,Lat=23.106453,Lng=120.292568,Alt=41.40,Ax=-904.75,Ay=390.16,Az=-127.12,Gx=-3167.50,Gy=560.00,Gz=-1575.T=42,H=55,SAT=5"
,2025-09-21T02:31:22Z,COM6,,UTC=10:31:20,,,23.10644,,,,,,,,,,,,,,,,,,"Package=69,UTC=10:31:20,Lat=23.10644"
,2025-09-21T02:31:23Z,COM6,,UTC=10:31:21,39.50,120.292578,23.106433,,,,,,,,,56,SAT=5,-875.35,390.52,-198.37,962.50,17010.00,2642.5T=42,,"Package=70,UTC=10:31:21,Lat=23.106433,Lng=120.292578,Alt=39.50,Ax=-875.35,Ay=390.52,Az=-198.37,Gx=962.50,Gy=17010.00,Gz=2642.5T=42,H=56,SAT=5"
,2025-09-21T02:31:24Z,COM6,,UTC=10:31:22,37.90,120.292580,23.106425,,,,,,,,,56,SAT=5,-869.25,434.56,-236.80,-6650.00,-1522.50,-119T=42,,"Package=71,UTC=10:31:22,Lat=23.106425,Lng=120.292580,Alt=37.90,Ax=-869.25,Ay=434.56,Az=-236.80,Gx=-6650.00,Gy=-1522.50,Gz=-119T=42,H=56,SAT=5"
,2025-09-21T02:31:25Z,COM6,,UTC=10:31:23,36.50,120.292585,23.106428,,,,,,,,,56,SAT=5,-907.44,312.56,-198.98,2975.00,-22487.50,6037T=42,,"Package=72,UTC=10:31:23,Lat=23.106428,Lng=120.292585,Alt=36.50,Ax=-907.44,Ay=312.56,Az=-198.98,Gx=2975.00,Gy=-22487.50,Gz=6037T=42,H=56,SAT=5"
,2025-09-21T02:31:26Z,COM6,,UTC=10:31:24,35.20,120.292588,23.106432,,,,,,,,,56,SAT=5,-923.17,317.69,-199.71,2537.50,-28997.50,-437T=42,,"Package=73,UTC=10:31:24,Lat=23.106432,Lng=120.292588,Alt=35.20,Ax=-923.17,Ay=317.69,Az=-199.71,Gx=2537.50,Gy=-28997.50,Gz=-437T=42,H=56,SAT=5"
