Pkt-Cnt,rx_time,port,millis,UTC,Alt,Lng,Lat,VBAT,VSOLAR,V3V3,V5V,V3V3EF,EPS,TS,T,H,PAY,Ax,Ay,Az,Gx,Gy,Gz,Sat,raw
,2025-09-20T13:40:37Z,COM6,,UTC=21:40:36,25.9,120.292512,23.10754,,,,,,,,29,66,SAT=0,-8.42,-46.97,-989.18,70,-560,0,,"Package=204,UTC=21:40:36,Lat=23.107540,Lng=120.292512,Alt=25.90,Ax=-8.42,Ay=-46.97,Az=-989.18,Gx=70.00,Gy=-560.00,Gz=0.00,T=29,H=66,SAT=0"
,2025-09-20T13:40:38Z,COM6,,UTC=21:40:37,25.9,120.292512,23.10754,,,,,,,,29,66,SAT=0,-7.93,-46.85,-988.93,52.5,-577.5,-35,,"Package=205,UTC=21:40:37,Lat=23.107540,Lng=120.292512,Alt=25.90,Ax=-7.93,Ay=-46.85,Az=-988.93,Gx=52.50,Gy=-577.50,Gz=-35.00,T=29,H=66,SAT=0"
,2025-09-20T13:40:39Z,COM6,,UTC=21:40:38,25.9,120.292512,23.10754,,,,,,,,29,66,SAT=0,-7.93,-46.73,-989.18,17.5,-525,52.5,,"Package=206,UTC=21:40:38,Lat=23.107540,Lng=120.292512,Alt=25.90,Ax=-7.93,Ay=-46.73,Az=-989.18,Gx=17.50,Gy=-525.00,Gz=52.50,T=29,H=66,SAT=0"
,2025-09-20T13:40:40Z,COM6,,UTC=21:40:39,,,23.10754,,,,,,,,,,,,,,,,,,"Package=207,UTC=21:40:39,Lat=23.107540,L"
,2025-09-20T13:40:41Z,COM6,,UTC=21:40:40,25.9,120.292512,23.10754,,,,,,,,29,67,SAT=0,-8.05,-46.85,-989.18,35,-630,-52.5,,"Package=208,UTC=21:40:40,Lat=23.107540,Lng=120.292512,Alt=25.90,Ax=-8.05,Ay=-46.85,Az=-989.18,Gx=35.00,Gy=-630.00,Gz=-52.50,T=29,H=67,SAT=0"
,2025-09-20T13:40:42Z,COM6,,UTC=21:40:41,25.9,120.292512,23.10754,,,,,,,,29,67,SAT=0,-7.56,-46.6,-989.79,35,-595,-87.5,,"Package=209,UTC=21:40:41,Lat=23.107540,Lng=120.292512,Alt=25.90,Ax=-7.56,Ay=-46.60,Az=-989.79,Gx=35.00,Gy=-595.00,Gz=-87.50,T=29,H=67,SAT=0"
,2025-09-20T13:40:43Z,COM6,,UTC=21:40:42,25.9,120.292512,23.10754,,,,,,,,29,67,SAT=0,-8.3,-47.09,-989.54,-17.5,-595,-175,,"Package=210,UTC=21:40:42,Lat=23.107540,Lng=120.292512,Alt=25.90,Ax=-8.30,Ay=-47.09,Az=-989.54,Gx=-17.50,Gy=-595.00,Gz=-175.00,T=29,H=67,SAT=0"
,2025-09-20T13:40:44Z,COM6,,UTC=21:40:43,25.9,120.292512,23.10754,,,,,,,,29,67,SAT=0,-8.05,-46.73,-989.18,35,-595,-52.5,,"Package=211,UTC=21:40:43,Lat=23.107540,Lng=120.292512,Alt=25.90,Ax=-8.05,Ay=-46.73,Az=-989.18,Gx=35.00,Gy=-595.00,Gz=-52.50,T=29,H=67,SAT=0"
,2025-09-20T13:40:45Z,COM6,,UTC=21:40:44,25.9,120.292512,23.10754,,,,,,,,29,67,SAT=0,-8.3,-46.97,-989.18,87.5,-525,52.5,,"Package=212,UTC=21:40:44,Lat=23.107540,Lng=120.292512,Alt=25.90,Ax=-8.30,Ay=-46.97,Az=-989.18,Gx=87.50,Gy=-525.00,Gz=52.50,T=29,H=67,SAT=0"
,2025-09-20T13:40:46Z,COM6,,UTC=21:40:45,25.9,120.292512,23.10754,,,,,,,,29,67,SAT=0,-8.17,-46.85,-989.42,17.5,-560,-35,,"Package=213,UTC=21:40:45,Lat=23.107540,Lng=120.292512,Alt=25.90,Ax=-8.17,Ay=-46.85,Az=-989.42,Gx=17.50,Gy=-560.00,Gz=-35.00,T=29,H=67,SAT=0"
,2025-09-20T13:40:47Z,COM6,,UTC=21:40:46,,,2,,,,,,,,,,,,,,,,,,"Package=214,UTC=21:40:46,Lat=2"
,2025-09-20T13:40:48Z,COM6,,UTC=21:40:47,25.9,120.292512,23.10754,,,,,,,,29,67,SAT=0,-8.3,-47.21,-989.42,17.5,-525,35,,"Package=215,UTC=21:40:47,Lat=23.107540,Lng=120.292512,Alt=25.90,Ax=-8.30,Ay=-47.21,Az=-989.42,Gx=17.50,Gy=-525.00,Gz=35.00,T=29,H=67,SAT=0"
,2025-09-20T13:40:49Z,COM6,,UTC=21:40:48,25.9,120.292512,23.10754,,,,,,,,29,67,SAT=0,-8.54,-47.21,-989.18,105,-577.5,122.5,,"Package=216,UTC=21:40:48,Lat=23.107540,Lng=120.292512,Alt=25.90,Ax=-8.54,Ay=-47.21,Az=-989.18,Gx=105.00,Gy=-577.50,Gz=122.50,T=29,H=67,SAT=0"
