Pkt-Cnt,rx_time,port,millis,UTC,Alt,Lng,Lat,VBAT,VSOLAR,V3V3,V5V,V3V3EF,EPS,TS,T,H,PAY,Ax,Ay,Az,Gx,Gy,Gz,Sat,raw
,2025-09-20T14:15:09Z,COM6,,UTC=8:8:23,N/A,N/A,N/A,7.875,0.198,3.348,5,3.35,,,N/A,N/A,SAT=0,2.32,-27.69,-991.13,35,-542.5,17.5,,"Package=71,UTC=8:8:23,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.32,Ay=-27.69,Az=-991.13,Gx=35.00,Gy=-542.50,Gz=17.50,T=N/A,H=N/A,SAT=0,VBAT=7.875,VSOLAR=0.198,V3V3=3.348,V5V=5.000,V3V3EF=3.35"
,2025-09-20T14:15:10Z,COM6,,UTC=8:8:25,N/A,N/A,N/A,,,,,,,,,,,2.2,-27.45,-990.52,-17.5,,,,"Package=73,UTC=8:8:25,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.20,Ay=-27.45,Az=-990.52,Gx=-17.5"
,2025-09-20T14:15:14Z,COM6,,UTC=8:8:29,N/A,N/A,N/A,7.849,0.146,3.343,5,3,,,N/A,N/A,SAT=0,2.44,-27.33,-991.37,70,-525,-17.5,,"Package=77,UTC=8:8:29,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.44,Ay=-27.33,Az=-991.37,Gx=70.00,Gy=-525.00,Gz=-17.50,T=N/A,H=N/A,SAT=0,VBAT=7.849,VSOLAR=0.146,V3V3=3.343,V5V=5.000,V3V3EF=3."
,2025-09-20T14:15:16Z,COM6,,UTC=8:8:30,N/A,N/A,N/A,7.885,0.182,3.344,5,3,,,N/A,N/A,SAT=0,2.32,-27.69,-991.62,52.5,-525,-35,,"Package=78,UTC=8:8:30,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.32,Ay=-27.69,Az=-991.62,Gx=52.50,Gy=-525.00,Gz=-35.00,T=N/A,H=N/A,SAT=0,VBAT=7.885,VSOLAR=0.182,V3V3=3.344,V5V=5.000,V3V3EF=3"
,2025-09-20T14:15:18Z,COM6,,UTC=8:8:33,N/A,N/A,N/A,,,,,,,,,,,2.32,-27.57,-990.52,87.5,-577,,,"Package=81,UTC=8:8:33,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.32,Ay=-27.57,Az=-990.52,Gx=87.50,Gy=-577."
,2025-09-20T14:15:20Z,COM6,,UTC=8:8:35,N/A,N/A,N/A,7.865,0.179,3.348,5,3,,,N/A,N/A,SAT=0,2.2,-27.57,-989.91,-35,-560,-17.5,,"Package=83,UTC=8:8:35,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.20,Ay=-27.57,Az=-989.91,Gx=-35.00,Gy=-560.00,Gz=-17.50,T=N/A,H=N/A,SAT=0,VBAT=7.865,VSOLAR=0.179,V3V3=3.348,V5V=5.000,V3V3EF=3"
,2025-09-20T14:15:26Z,COM6,,UTC=8:8:41,N/A,N/A,N/A,,,,,,,,,,,2.32,-27.69,-990.15,35,-5,,,"Package=89,UTC=8:8:41,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.32,Ay=-27.69,Az=-990.15,Gx=35.00,Gy=-5"
,2025-09-20T14:15:32Z,COM6,,UTC=8:8:46,N/A,N/A,N/A,7.848,0.128,3.342,5,3.3,,,N/A,N/A,SAT=0,2.2,-27.94,-991.98,-17.5,-507.5,0,,"Package=94,UTC=8:8:46,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.20,Ay=-27.94,Az=-991.98,Gx=-17.50,Gy=-507.50,Gz=0.00,T=N/A,H=N/A,SAT=0,VBAT=7.848,VSOLAR=0.128,V3V3=3.342,V5V=5.000,V3V3EF=3.3"
,2025-09-20T14:15:33Z,COM6,,UTC=8:8:47,N/A,N/A,N/A,7.828,0.142,3.343,5,3,,,N/A,N/A,SAT=0,2.2,-27.82,-991.49,-17.5,-560,-52.5,,"Package=95,UTC=8:8:47,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.20,Ay=-27.82,Az=-991.49,Gx=-17.50,Gy=-560.00,Gz=-52.50,T=N/A,H=N/A,SAT=0,VBAT=7.828,VSOLAR=0.142,V3V3=3.343,V5V=5.000,V3V3EF=3"
,2025-09-20T14:15:34Z,COM6,,UTC=8:8:49,N/A,N/A,N/A,,,,,,,,,,,6.95,-24.28,-1009.67,13737.5,13492.5,,,"Package=97,UTC=8:8:49,Lat=N/A,Lng=N/A,Alt=N/A,Ax=6.95,Ay=-24.28,Az=-1009.67,Gx=13737.50,Gy=13492.50"
,2025-09-20T14:15:42Z,COM6,,UTC=8:8:57,N/A,N/A,N/A,,,,,,,,N/,,,1.95,-28.18,-991.01,0,-560,-52.5,,"Package=105,UTC=8:8:57,Lat=N/A,Lng=N/A,Alt=N/A,Ax=1.95,Ay=-28.18,Az=-991.01,Gx=0.00,Gy=-560.00,Gz=-52.50,T=N/"
,2025-09-20T14:15:46Z,COM6,,UTC=8:9:1,N/A,N/A,N/A,7.831,0.104,3.349,5,3.3,,,N/A,N/A,SAT=0,1.95,-28.3,-991.62,52.5,-577.5,0,,"Package=109,UTC=8:9:1,Lat=N/A,Lng=N/A,Alt=N/A,Ax=1.95,Ay=-28.30,Az=-991.62,Gx=52.50,Gy=-577.50,Gz=0.00,T=N/A,H=N/A,SAT=0,VBAT=7.831,VSOLAR=0.104,V3V3=3.349,V5V=5.000,V3V3EF=3.3"
,2025-09-20T14:15:48Z,COM6,,UTC=8:9:2,N/A,N/A,N/A,7.802,0.103,3.348,5,3,,,N/A,N/A,SAT=0,2.32,-28.3,-991.62,52.5,-577.5,-35,,"Package=110,UTC=8:9:2,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.32,Ay=-28.30,Az=-991.62,Gx=52.50,Gy=-577.50,Gz=-35.00,T=N/A,H=N/A,SAT=0,VBAT=7.802,VSOLAR=0.103,V3V3=3.348,V5V=5.000,V3V3EF=3."
,2025-09-20T14:15:50Z,COM6,,UTC=8:9:5,N/A,N/A,N/A,,,,,,,,N/A,,,2.32,-28.55,-993.45,52.5,-525,-70,,"Package=113,UTC=8:9:5,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.32,Ay=-28.55,Az=-993.45,Gx=52.50,Gy=-525.00,Gz=-70.00,T=N/A,H="
,2025-09-20T14:15:54Z,COM6,,UTC=8:9:9,N/A,N/A,N/A,7.9,0.265,3.347,5,3,,,N/A,N/A,SAT=0,2.2,-27.94,-990.4,0,-577.5,-17.5,,"Package=117,UTC=8:9:9,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.20,Ay=-27.94,Az=-990.40,Gx=0.00,Gy=-577.50,Gz=-17.50,T=N/A,H=N/A,SAT=0,VBAT=7.900,VSOLAR=0.265,V3V3=3.347,V5V=5.000,V3V3EF=3."
,2025-09-20T14:15:56Z,COM6,,UTC=8:9:10,N/A,N/A,N/A,7.875,0.227,3.349,5,3,,,N/A,N/A,SAT=0,2.07,-28.3,-991.01,70,-525,17.5,,"Package=118,UTC=8:9:10,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.07,Ay=-28.30,Az=-991.01,Gx=70.00,Gy=-525.00,Gz=17.50,T=N/A,H=N/A,SAT=0,VBAT=7.875,VSOLAR=0.227,V3V3=3.349,V5V=5.000,V3V3EF=3"
,2025-09-20T14:15:58Z,COM6,,UTC=8:9:13,N/A,N/A,N/A,7.817,0.1,,,,,,N/A,N/A,SAT=0,2.07,-28.3,-992.35,35,-577.5,35,,"Package=121,UTC=8:9:13,Lat=N/A,Lng=N/A,Alt=N/A,Ax=2.07,Ay=-28.30,Az=-992.35,Gx=35.00,Gy=-577.50,Gz=35.00,T=N/A,H=N/A,SAT=0,VBAT=7.817,VSOLAR=0.100,V"
,2025-09-20T14:16:05Z,COM6,,UTC=8,,,,,,,,,,,,,,,,,,,,,"Package=128,UTC=8"
,2025-09-20T14:16:06Z,COM6,,UTC=8:9:21,N/A,N/A,N/A,7.864,0.206,3,,,,,N/A,N/A,SAT=0,1.95,-27.82,-988.93,-35,-612.5,-35,,"Package=129,UTC=8:9:21,Lat=N/A,Lng=N/A,Alt=N/A,Ax=1.95,Ay=-27.82,Az=-988.93,Gx=-35.00,Gy=-612.50,Gz=-35.00,T=N/A,H=N/A,SAT=0,VBAT=7.864,VSOLAR=0.206,V3V3=3."
,2025-09-20T14:16:14Z,COM6,,UTC=8:9:29,N/A,N/A,N/A,7.803,,,,,,,,N/A,SAT=0,-34.89,-111.51,-1001.13,8260,14210,-136T=N/A,,"Package=137,UTC=8:9:29,Lat=N/A,Lng=N/A,Alt=N/A,Ax=-34.89,Ay=-111.51,Az=-1001.13,Gx=8260.00,Gy=14210.00,Gz=-136T=N/A,H=N/A,SAT=0,VBAT=7.803,VSO"
,2025-09-20T14:16:21Z,COM6,,UTC,,,,,,,,,,,,,,,,,,,,,"Package=144,UTC"
,2025-09-20T14:16:22Z,COM6,,UTC=8:9:37,N/A,N/A,N/A,7.819,0.204,3.3,,,,,,N/A,SAT=0,72.1,-277.67,-975.15,3587.5,2555,7665.00T=N/A,,"Package=145,UTC=8:9:37,Lat=N/A,Lng=N/A,Alt=N/A,Ax=72.10,Ay=-277.67,Az=-975.15,Gx=3587.50,Gy=2555.00,Gz=7665.00T=N/A,H=N/A,SAT=0,VBAT=7.819,VSOLAR=0.204,V3V3=3.3"
,2025-09-20T14:16:29Z,COM6,,UTC=8:9:44,,,N,,,,,,,,,,,,,,,,,,"Package=152,UTC=8:9:44,Lat=N"
,2025-09-20T14:16:30Z,COM6,,UTC=8:9:45,N/A,N/A,N/A,7.808,0.228,3.333,5,,,,,N/A,SAT=0,167.02,-351.48,-895.48,-13965,-12460,11T=N/A,,"Package=153,UTC=8:9:45,Lat=N/A,Lng=N/A,Alt=N/A,Ax=167.02,Ay=-351.48,Az=-895.48,Gx=-13965.00,Gy=-12460.00,Gz=11T=N/A,H=N/A,SAT=0,VBAT=7.808,VSOLAR=0.228,V3V3=3.333,V5V=5.000,V"
,2025-09-20T14:16:37Z,COM6,,UTC=8:9:52,,N/A,N/A,,,,,,,,,,,,,,,,,,"Package=160,UTC=8:9:52,Lat=N/A,Lng=N/A,Alt"
,2025-09-20T14:16:45Z,COM6,,UTC=22:16:38,N/A,N/A,N/A,,,,,,,,,,,161,,,,,,,"Package=168,UTC=22:16:38,Lat=N/A,Lng=N/A,Alt=N/A,Ax=161"
,2025-09-20T14:16:53Z,COM6,,UTC=22:16:46,N/A,N/A,N/A,,,,,,,,,,,195.69,-39,,,,,,"Package=176,UTC=22:16:46,Lat=N/A,Lng=N/A,Alt=N/A,Ax=195.69,Ay=-39"
,2025-09-20T14:17:01Z,COM6,,UTC=22:16:54,N/A,N/A,N/A,,,,,,,,,,,211.06,-500.32,-83,,,,,"Package=184,UTC=22:16:54,Lat=N/A,Lng=N/A,Alt=N/A,Ax=211.06,Ay=-500.32,Az=-83"
,2025-09-20T14:17:09Z,COM6,,UTC=22:17:2,N/A,N/A,N/A,,,,,,,,,,,79.67,-513.38,-857.66,-735,-9,,,"Package=192,UTC=22:17:2,Lat=N/A,Lng=N/A,Alt=N/A,Ax=79.67,Ay=-513.38,Az=-857.66,Gx=-735.00,Gy=-9"
,2025-09-20T14:17:17Z,COM6,,UTC=22:17:10,N/A,N/A,N/A,,,,,,,,,,,28.91,-735.05,-699.18,-3255,2275,,,"Package=200,UTC=22:17:10,Lat=N/A,Lng=N/A,Alt=N/A,Ax=28.91,Ay=-735.05,Az=-699.18,Gx=-3255.00,Gy=2275.00,G"
,2025-09-20T14:17:25Z,COM6,,UTC=22:17:14,N/A,N/A,N/A,,,,,,,,,,,42.94,-755.42,-680.88,-577.5,-70,-1715.00T=,,"Package=208,UTC=22:17:14,Lat=N/A,Lng=N/A,Alt=N/A,Ax=42.94,Ay=-755.42,Az=-680.88,Gx=-577.50,Gy=-70.00,Gz=-1715.00T="
,2025-09-20T14:17:32Z,COM6,,UT3.332,,,,,,,5,3.328,0.261,0.258,,,,,,,,,,,"Package=215,UT3.332,V5V=5.000,V3V3EF=3.328,TS=0.258,EPS=0.261"
,2025-09-20T14:17:33Z,COM6,,UTC=22:17:26,N/A,N/A,N/A,,,,,,,,N/A,N/A,,24.16,-773.24,-659.04,-735,105,-122.5,,"Package=216,UTC=22:17:26,Lat=N/A,Lng=N/A,Alt=N/A,Ax=24.16,Ay=-773.24,Az=-659.04,Gx=-735.00,Gy=105.00,Gz=-122.50,T=N/A,H=N/A,SAT"
,2025-09-20T14:17:40Z,COM6,,UTC=22:17:315.000,,,,,,,,3.328,0.232,0.256,,,,,,,,,,,"Package=223,UTC=22:17:315.000,V3V3EF=3.328,TS=0.256,EPS=0.232"
,2025-09-20T14:17:41Z,COM6,,UTC=22:17:31,N/A,N/A,N/A,7,,,,,,,,N/A,SAT=0,72.96,-729.19,-698.33,-1365,140,-2345.0T=N/A,,"Package=224,UTC=22:17:31,Lat=N/A,Lng=N/A,Alt=N/A,Ax=72.96,Ay=-729.19,Az=-698.33,Gx=-1365.00,Gy=140.00,Gz=-2345.0T=N/A,H=N/A,SAT=0,VBAT=7."
,2025-09-20T14:17:49Z,COM6,,UTC=22:17:31,N/A,N/A,N/A,7.865,0,,,,,,,N/A,SAT=0,123.1,-687.84,-736.15,4340,927.5,4690.00T=N/A,,"Package=232,UTC=22:17:31,Lat=N/A,Lng=N/A,Alt=N/A,Ax=123.10,Ay=-687.84,Az=-736.15,Gx=4340.00,Gy=927.50,Gz=4690.00T=N/A,H=N/A,SAT=0,VBAT=7.865,VSOLAR=0"
,2025-09-20T14:17:56Z,COM6,,UTC=22:,,,,,,,,,,,,,,,,,,,,,"Package=239,UTC=22:"
